"country","country.name"
"Bolivia","Bolivia, Plurinational State of"
"Cape Verde","Cabo Verde"
"Central African Rep.","Central African Republic"
"Congo, Dem. Rep.","Congo, the Democratic Republic of the"
"Congo, Rep.","Congo"
"Czech Rep.","Czech Republic"
"Dominican Rep.","Dominican Republic"
"Iran","Iran, Islamic Republic of"
"Korea, Rep.","Korea, Republic of"
"Laos","Lao People's Democratic Republic"
"Macedonia, FYR","Macedonia, the former Yugoslav Republic of"
"Moldova","Moldova, Republic of"
"Russia","Russian Federation"
"Slovak Republic","Slovakia"
"Syria","Syrian Arab Republic"
"Taiwan","China"
"Tanzania","Tanzania, United Republic of"
"Venezuela","Venezuela, Bolivarian Republic of"
"Vietnam","Viet Nam"
"West Bank and Gaza","Palestine, State of"
"Yemen, Rep.","Yemen"
